City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,arenapolis,-14.4503,-56.8461,311.29,13,41,1.91,BR,1727212491
319,altamira,-3.2033,-52.2064,300.67,67,91,0.93,BR,1727212493
320,erenhot,43.6475,111.9767,284.56,74,69,2.75,CN,1727212494
321,huntington,38.4193,-82.4452,297.11,87,0,2.24,US,1727212495
322,villa yapacani,-17.4,-63.8333,312.53,15,0,4.43,BO,1727212496
323,cockburn town,21.4612,-71.1419,302.23,75,8,5.63,TC,1727212497
324,el abiodh sidi cheikh,32.893,0.5484,298.15,46,88,4.01,DZ,1727212498
325,taunggyi,20.7833,97.0333,292.21,97,100,0.94,MM,1727212499
326,ouarzazat,30.9189,-6.8934,299.31,29,0,5.14,MA,1727212500
327,isafjordur,66.0755,-23.124,273.07,82,94,7.05,IS,1727212502
328,sassandra,4.95,-6.0833,297.4,91,78,2.52,CI,1727212503
329,los chavez,34.727,-106.7384,303.75,19,2,0.89,US,1727212504
330,mananjary,-21.2167,48.3333,293.67,92,53,0.57,MG,1727212505
331,rochester,43.1548,-77.6156,290.5,90,100,6.17,US,1727212508
332,rio claro,-22.4114,-47.5614,304.15,20,2,2.94,BR,1727212509
333,manokwari,-0.8667,134.0833,299.12,70,5,1.03,ID,1727212510
334,hinatuan,8.3722,126.3342,296.68,96,100,2.2,PH,1727212513
335,stephenville,32.2207,-98.2023,304.34,50,0,1.54,US,1727212515
336,shanhecun,44.7,127.2,286.65,76,99,4.2,CN,1727212516
337,chonchi,-42.6128,-73.8092,282.66,66,49,2.97,CL,1727212517
338,siwa oasis,29.2041,25.5195,302.74,34,0,2.68,EG,1727212518
339,paracuru,-3.41,-39.0306,298.35,83,17,5.2,BR,1727212519
340,turpan,42.9333,89.1667,299.88,30,98,0.67,CN,1727212520
341,mthatha,-31.5889,28.7844,288.46,94,26,1.03,ZA,1727212521
342,marquette,46.5333,-87.6335,290.46,75,1,2.68,US,1727212522
343,new amsterdam,6.25,-57.5167,301.83,67,95,2.93,GY,1727212524
344,divrigi,39.371,38.1137,289.45,64,81,0.23,TR,1727212525
345,tarhuna,32.435,13.6332,295.18,75,29,3.81,LY,1727212526
346,timimoun,29.2639,0.231,303.49,43,93,3.64,DZ,1727212527
347,jiayuguan,39.8167,98.3,290.58,46,48,1.49,CN,1727212528
348,bali,-8.5,115.0,296.24,91,40,1.8,ID,1727212529
349,inari,68.906,27.0288,280.13,94,100,3.63,FI,1727212530
350,susuman,62.7833,148.1667,270.48,62,36,1.88,RU,1727212531
351,hoeyang,38.7103,127.5983,285.5,87,1,0.95,KP,1727212533
352,minot air force base,48.4209,-101.3391,298.25,31,0,4.63,US,1727212534
